"Blue" Imcrix
"Fugitive" Fod
"Mother"
"Shady" Pers
"Slide" Brombek
'Ndranth Poussan
0761
1047
1137
1138 (First Order)
1138 (stormtrooper)
1139
1151
1174
1219
16
17
1729's co-pilot
17786
18
187th Legion's clone commander
2242
2249
23
26-424
295.902/V8
334.556/G7
343.245/H5
347.609/D5
35 (Ando Prime)
36
37
44
451.322/S8
57
6/298
73
761
792.001/Z6
792.664/Z6
792.667/Z6
793.641/Z6
915
99
A'Deen
A'Lerris Verata
A'Yark
A'den Skirata
A'jidre Skrigatov
A'kazz
A'kiian "Maleficus" Bloodlight
A'nang
A-Zulmun
A-foreman
A. Drax
A. Rahring
A.J.
AD-742
AF-119
AF-27
ARC-77
Aabatar
Aach
Aach Een
Aagon
Aaida
Aakars
Aald
Aalia Duu-lang
Aalto
Aama
Aambler
Aang
Aanxi Raanxi Laanxi
Aaph Koden
Aaren Larker
Aari
Aarica Vost
Aarn
Aarno Dering
Aarrba
Aarrom
Aarsix
Aay Zavos
Aayla Secura
Aaz'del Hutrick
Ab'el Bogen
Abadaner
Abagga Creel
Abal Karda
Abalen
Abam Tev
Aban
Abano
Abara Mun
Abaron
Abasi Vesco
Abav Ghart
Abbela Oldsong
Abbeth
Abbus-Kelo
Abdan-Sho
Abdi-Badawzi
Abel
Abel LaSal
Abeloth
Abin-Ral-Xufush
Abiss Sol'oras
Able Nereno
Able-472
Ables
Ablest
Abominelle
Aboo Aramflahad
Abram Zavict
Abran Balfour
Abric
Abron Mar
Abryl
Abso Bar Binks
Abso Bar Binks's mother
Abu Banu
Acaadi
Acan
Ace (nickname)
Ace Azzameen
Ace Fendo
Ace Merrick
Ace of Staves
Acer Ash
Acey
Achitan
Achk Med-Beq
Achonnko
Acix Ileo
Ackdool
Acklay Chopper
Ackli
Ackmena
Ackrahbala
Acme Droid Service salesman
Acros-Krik
Actavarus III
Acun Solari
Ada
Ada Klee
Ada's father
Adah Meborman
Adair Koryunt
Adali
Adalric Cessius Brandl
Adam Swiftgale
Adamar Kirb
Adambo
Adame
Adamek
Adan
Adan Dooku
Adan Tranik
Adana (Human)
Adana Vermor
Adanar
Adar (Imperial)
Adar Tallon
Adarakh
Adari Vaal
Adari Vaal's uncle
Adarian Tropis
Adaroo
Adas
Adazian Liebke
Addalar Hyland
Addar
Addar's mother
Addath Gadan
Addi'shon
Addy Ingrol
Adea Rite
Adeen Edeemir
Adela Tyché
Adele Konya
Adelhard
Adelhard's wife
Adeline Marr
Adem Antin
Aden
Adery Shrial
Adi Gallia
Adi'son
Adic Ma'an
Adiik
Adion Lang
Adion Var'alich
Adison Cray
Adlee
Adler Roty
Admiral (soldier)
Adnama
Ado Eemon
Adol Bel
Adol Mantid
Adon Fox
Adon Fox's wife
Adon'aris
Adon-larr
Adonai Kryze
Adonar Dellox
Ados Jarkey
Adra Passik
Adraas
Adran Blake
Adray Terson
Adrazar
Adrell
Adrenas
Adri Reenogga
Adria Reyn
Adrian Verana
Adrianna Nyras
Adriav Kavos
Adrick
Adriphar
Adrona
Adronik Hyllus
Adum Larp
Adun
Adwan Turoldine
Adwin Charu
Adye Prittick
Aehrrley Rue
Aeios
Aelan Kalder
Aelon Reglis
Aelta
Aemele
Aemont Sillib
Aeon Durron
Aeona Cantor
Aeradin
Aeran
Aereena
Aerin Dlarit
Aern Wylup
Aero (stormtrooper)
Aeron
Aeron Azzameen
Aerowynn
Aervis Wint
Affeltelti
Afren Hul
Afsheen Makati
Afyon
Aga Culpa
Agan Sort
Agapos the Ninth
Agapos the Tenth
Agatha
Agen Kolar
Agerin Minosh
Aggaba
Aggadeen
Agira Nyrat
Aglar Orin
Agluk
Agmor Glayyd
Agolerga
Agrippa Aldrete
Agrular
Agruss
Agtor
Aguilae
Ah Kwan
Ah-Shlee Clatto
Ahalas Svindren
Ahita Othar
Ahk'laht
Ahkar
Ahlan Matale
Ahleazah
Ahlya
Ahn Rasi Tuum
Ahnah Rawk
Ahnjai Rahmma
Ahnyx Pollard
Ahrens
Ahri Raas
